State,Year,avg_avgrain
A.P,2024,7.238561
A.P,2023,5.128567
A.P,2022,5.987308
A.P,2021,7.244671
A.P,2020,1.76732
Maharastra,2024,26.02749
Maharastra,2023,16.39861
Maharastra,2022,21.09392
Maharastra,2021,15.645612
Maharastra,2020,1.836159
Tamil Nadu,2024,4.257981
Tamil Nadu,2023,2.715752
Tamil Nadu,2022,4.992746
Tamil Nadu,2021,5.392853
Tamil Nadu,2020,1.908289
Kerala,2024,27.819762
Kerala,2023,17.32986
Kerala,2022,23.462974
Kerala,2021,17.641905
Kerala,2020,2.48317
Goa,2024,77.609631
Goa,2023,52.515169
Goa,2022,50.87991
Goa,2021,41.731233
Goa,2020,0.690986
Gujarat,2024,24.896338
Gujarat,2023,15.768252
Gujarat,2022,19.149504
Gujarat,2021,12.3232
Gujarat,2020,0.893332
